tconst	averageRating	numVotes
tt0002278	5.1	10
tt0002280	4.9	28
tt0002281	6.2	243
tt0002282	5.3	20
tt0002287	4.4	5
tt0002290	5.4	38
tt0002293	3.6	5
tt0002295	7.4	5
tt0002300	6.2	8
tt0002302	6.1	25
tt0002303	5.7	149
tt0002305	7.5	15
tt0002309	8.9	11
tt0002318	5.2	5
tt0002320	3.6	5
tt0002329	5.4	23
tt0002332	4.5	12
tt0002340	5.8	39
tt0002342	5.9	60
tt0002349	5.8	9
tt0002350	6.4	256
tt0002354	6.3	115
tt0002355	6.0	43
tt0002357	6.2	170
tt0002369	6.0	37
tt0002370	5.9	7
tt0002371	6.5	10
tt0002374	6.2	8
tt0002380	4.9	7
tt0002381	6.6	1903
tt0002386	5.8	122
tt0002387	4.9	26
tt0002391	6.4	745
tt0002392	5.4	5
tt0002394	7.8	5
tt0002398	5.5	29
tt0002399	4.0	8
tt0002400	5.6	202
tt0002402	7.7	6
tt0002405	4.7	19
tt0002406	4.6	11
tt0002408	6.3	261
tt0002409	6.1	9
tt0002415	5.9	495
tt0002421	6.0	95
tt0002423	6.8	728
tt0002429	6.2	145
tt0002434	9.0	5
tt0002437	9.0	7
tt0002440	3.7	12
tt0002441	5.6	13
tt0002443	4.3	6
tt0002445	6.1	254
tt0002449	6.3	44
tt0002451	8.5	10
tt0002452	6.6	194
tt0002461	5.5	217
tt0002465	5.7	23
tt0002473	6.6	63
tt0002475	7.1	71
tt0002477	6.4	8
tt0002478	5.5	27
tt0002484	5.5	47
tt0002497	6.3	78
tt0002501	4.4	22
tt0002504	4.8	35
tt0002505	4.4	9
tt0002506	4.9	13
tt0002512	6.2	326
tt0002514	5.9	7
tt0002515	5.5	8
tt0002521	5.3	17
tt0002523	5.6	72
tt0002528	5.1	33
tt0002529	4.3	6
tt0002531	6.0	5
tt0002532	5.9	71
tt0002533	5.3	50
tt0002535	4.7	28
tt0002536	5.5	34
tt0002538	4.2	8
tt0002542	5.7	10
tt0002544	6.0	147
tt0002545	7.4	7
tt0002546	6.9	16
tt0002547	5.8	5
tt0002550	5.1	27
tt0002553	6.6	722
tt0002555	5.0	25
tt0002556	6.0	18
tt0002562	4.9	12
tt0002569	5.3	189
tt0002574	6.7	9
tt0002576	4.8	31
tt0002582	8.9	11
tt0002586	5.0	5
tt0002588	6.4	14
tt0002592	7.3	12
tt0002593	6.0	5
tt0002601	4.9	27
tt0002603	5.1	15
tt0002605	5.5	24
tt0002606	5.4	5
tt0002610	4.9	103
tt0002621	5.2	62
tt0002628	5.8	64
tt0002639	6.2	135
tt0002646	6.7	321
tt0002656	5.8	17
tt0002658	3.8	34
tt0002659	5.4	683
tt0002663	6.0	316
tt0002669	6.1	21
tt0002678	5.9	11
tt0002687	7.8	10
tt0002702	4.7	16
tt0002718	3.8	11
tt0002719	5.5	66
tt0002726	4.8	5
tt0002736	5.8	9
tt0002745	3.8	12
tt0002753	5.3	9
tt0002755	4.5	19
tt0002759	5.9	15
tt0002761	4.6	13
tt0002767	5.6	37
tt0002784	5.1	30
tt0002795	6.1	472
tt0002796	5.5	6
tt0002797	5.0	8
tt0002801	5.1	15
tt0002813	5.2	218
tt0002815	3.8	11
tt0002816	5.9	88
tt0002822	4.2	26
tt0002829	4.6	10
tt0002832	7.0	11
tt0002844	7.0	1886
